Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ca43609a-7028-254a-0c23-2f079ec616ad,2023-04-06,,999-14-2693,,,,Camie739,Margo702,Muller251,,,,asian,nonhispanic,F,Ahmedabad  Gujarat  IN,1065 Carter Rue Suite 12,Thousand Oaks,California,Ventura County,6111,91360,34.16311206427053,-118.90207962075773,4019.32,0.00,183580
e19bb20a-f7d0-540f-7f50-9b88d2f0652f,2001-12-19,,999-33-7982,S99980020,X15710643X,Ms.,Aleida76,Ninfa662,Labadie908,,,,asian,nonhispanic,F,Mountain View  California  US,506 Gaylord Grove,San Jose,California,Santa Clara County,6085,95054,37.21310602904548,-122.0688713718516,11056.04,0.00,95014
c0a38d08-b418-6df6-41f3-26864780d319,1995-12-04,,999-56-7339,S99912462,X63903674X,Mr.,Tod265,Ahmad985,Tillman293,,,M,white,nonhispanic,M,Compton  California  US,1087 Morar Knoll,Long Beach,California,Los Angeles County,6037,90810,33.721069547286184,-118.2123094437581,3250.00,8916.96,17470
3f8e1c74-3ab8-9600-2d23-c07071cc3f72,1984-06-04,,999-43-1343,S99928672,X15923046X,Mrs.,Maricarmen445,Patricia625,Maestas764,,Avilés474,M,white,hispanic,F,Puebla  Puebla  MX,1028 Cassin Promenade Unit 43,Selma,California,Fresno County,6019,93662,36.528705943247175,-119.69756688214504,6637.48,5164.52,29940
f07f5e17-776b-7629-684f-07fe7f369acd,2003-11-18,,999-57-3234,S99927469,X2840018X,Ms.,Kaleigh347,Edythe31,Johnson679,,,,white,nonhispanic,F,Los Angeles  California  US,181 Kreiger Course,Santa Maria,California,Santa Barbara County,6083,93458,34.845091216707964,-120.33086976796857,2400.00,8509.98,7214
30c1b7f7-0442-185c-baac-9a236dc8f60e,2014-10-25,,999-97-1502,,,,Jerónimo599,Eduardo902,Marrero674,,,,white,hispanic,M,Tegucigalpa  Francisco Morazán  HN,643 Zulauf Passage,Daly City,California,San Mateo County,6081,94015,37.65693492474484,-122.46861887233352,7537.68,0.00,47364
b921f8fb-e0c4-29e1-4779-8a9aa1000a19,1960-04-13,,999-99-5527,S99993446,X6558387X,Mrs.,Adriane398,,Weissnat378,,Collins926,D,white,nonhispanic,F,Delano  California  US,498 Padberg Loaf Suite 15,Redlands,California,San Bernardino County,6071,92373,34.05087706253906,-117.09074867281144,6450.00,9908.44,22748
37db2a2c-f8c3-8ee6-49d6-8a460624836b,1985-10-13,,999-60-6692,S99964181,X40137368X,Mr.,Quentin28,Brandon214,Rutherford999,,,M,asian,nonhispanic,M,La Crescenta-Montrose  California  US,648 Considine Arcade,San Leandro,California,Alameda County,6001,94580,37.73804752997739,-122.20767444449545,11383.24,0.00,807512
86e256f3-6b81-4ff9-d611-98dfbdb869ce,1996-07-24,,999-30-4121,S99928476,X28351217X,Mr.,Hilario934,Neal874,Rogahn59,,,M,asian,nonhispanic,M,Fresno  California  US,1045 Kessler Club Unit 8,Carson,California,Los Angeles County,6037,90744,33.82963316853173,-118.29007608373045,11338.80,0.00,146069
ecc2a928-c134-9963-a3ae-0379583dd691,1992-07-11,,999-99-9279,S99963649,X27352387X,Mrs.,Alita891,Tyler508,Hyatt152,,Cremin516,M,white,nonhispanic,F,San Jose  California  US,913 Walsh Spur Suite 60,Arden-Arcade,California,Sacramento County,,00000,38.64797139091592,-121.41198521725492,3500.00,8405.72,16189
